0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
685.309,637.596,393.776,608.460,307.043,526.437,66.350
702.444,679.170,377.602,615.739,254.605,525.912,79.580
679.579,631.161,385.096,630.965,276.525,520.665,71.446
666.157,690.045,391.495,594.171,262.667,520.907,74.433
669.073,681.803,379.112,645.275,293.920,533.837,73.240
677.118,689.377,399.755,626.007,299.352,538.322,71.015
704.461,640.184,395.594,617.934,262.235,524.081,74.806
705.944,640.686,386.703,636.352,282.636,530.464,73.821
704.607,668.834,388.375,632.136,272.654,533.321,76.531
706.337,671.843,390.682,629.129,280.130,535.624,75.559
712.045,657.193,395.495,611.756,278.019,530.901,74.185
690.354,620.063,385.083,636.408,299.889,526.359,69.002
733.096,655.300,390.380,604.084,277.377,532.047,76.349
695.758,661.256,385.469,640.551,273.000,531.207,75.857
680.135,669.628,407.385,623.916,276.173,531.447,72.197
719.949,667.404,378.940,642.801,278.870,537.593,78.302
729.225,679.224,393.172,594.268,309.623,541.103,72.873
725.365,668.121,391.984,625.331,268.259,535.812,78.414
705.466,683.395,389.854,628.780,271.241,535.747,77.591
713.247,685.040,403.570,631.296,264.580,539.547,78.449
671.573,660.812,392.086,639.122,299.049,532.528,69.682
720.528,674.058,393.966,620.923,252.951,532.485,80.138
674.006,699.614,371.128,644.387,270.086,531.844,78.834
704.067,687.771,386.083,633.756,268.216,535.979,78.745
694.433,691.341,389.057,610.561,267.340,530.546,77.049
682.629,710.556,399.315,638.199,282.809,542.702,76.152
697.331,657.435,394.906,627.923,268.926,529.304,74.896
710.871,681.964,379.427,621.411,263.494,531.433,79.461
711.719,656.489,389.469,594.056,280.623,526.471,73.485
683.719,696.502,399.531,607.603,265.796,530.630,75.947
705.388,660.117,405.823,618.321,298.284,537.586,70.517
701.562,716.372,381.427,619.105,269.568,537.607,80.428
721.596,700.928,417.115,606.516,268.173,542.865,78.038
704.848,677.399,374.982,640.070,291.210,537.702,76.202
717.213,700.839,392.690,645.760,277.093,546.719,79.763
717.090,696.202,399.102,644.003,276.716,546.623,78.874
715.494,663.345,383.029,659.585,283.457,540.982,77.656
702.315,685.390,396.880,647.101,274.963,541.330,77.375
673.404,703.695,401.969,660.254,273.160,542.497,77.273
736.904,687.960,391.122,650.007,289.278,551.054,79.292
703.663,695.861,379.927,631.470,278.037,537.792,78.401
698.579,705.758,405.365,639.293,273.759,544.551,77.818
756.876,691.363,400.432,670.446,263.000,556.424,85.281
692.157,669.960,411.372,635.509,292.802,540.360,71.222
700.938,667.776,401.609,627.014,272.611,533.990,74.905
724.888,668.641,386.292,648.021,271.080,539.784,79.585
723.320,715.735,400.365,644.533,267.117,550.214,82.185
735.702,699.794,389.930,657.948,271.698,551.014,82.860
696.764,710.587,397.867,652.432,279.222,547.375,78.550
717.601,685.655,416.909,662.014,273.142,551.064,78.332
667.337,709.484,394.711,637.997,269.241,535.754,77.168
739.506,678.677,404.688,634.446,259.722,543.408,81.182
712.185,659.592,397.956,627.571,271.599,533.781,75.800
688.770,694.108,380.010,656.369,271.747,538.201,79.237
681.404,690.211,401.255,629.094,280.136,536.420,74.084
687.798,699.552,390.740,660.321,292.790,546.240,76.151
730.652,687.834,411.245,646.735,286.889,552.671,77.314
721.298,655.655,392.901,630.676,283.944,536.895,75.265
711.348,700.215,395.357,640.794,287.895,547.122,77.308
733.848,679.309,411.013,645.822,287.772,551.553,76.882
711.663,661.341,397.057,652.972,293.302,543.267,74.349
703.331,663.722,388.680,638.328,289.000,536.612,74.160
707.725,646.493,406.786,650.732,276.012,537.550,74.603
689.517,671.426,396.557,629.906,265.642,530.610,75.662
704.770,661.130,401.758,641.101,272.160,536.184,75.583
707.539,648.646,390.409,630.094,280.407,531.419,74.132
725.680,668.229,394.560,631.557,259.130,535.831,79.814
693.781,637.188,397.341,669.498,284.284,536.419,73.632
748.152,701.390,395.589,655.753,285.914,557.359,81.653
677.882,690.013,389.023,660.857,276.031,538.761,77.094
702.843,703.610,394.372,634.265,271.772,541.372,78.820
703.354,667.587,406.935,657.533,286.914,544.465,74.414
731.989,674.686,418.302,672.798,277.698,555.094,78.768
702.169,717.704,400.188,659.289,266.438,549.158,81.504
696.090,683.018,413.904,642.934,300.840,547.357,71.621
707.994,699.915,404.357,662.404,287.364,552.407,77.520
704.242,678.152,378.396,641.300,289.623,538.343,76.188
725.208,684.960,397.258,640.488,268.346,543.252,79.883
714.758,689.951,409.930,657.753,274.704,549.419,78.421
708.719,711.507,405.453,623.568,323.864,554.622,71.725
709.174,685.982,397.286,663.160,290.562,549.233,76.749
741.421,693.780,409.273,667.655,295.333,561.493,78.780
734.382,671.668,411.312,674.693,262.901,550.991,81.487
718.713,672.762,395.880,656.481,293.253,547.418,76.029
676.725,705.341,395.849,642.648,280.469,540.206,76.080
701.820,669.601,401.714,632.418,285.685,538.248,73.568
742.236,655.027,401.932,636.641,294.383,546.044,75.545
743.213,641.188,410.914,667.840,273.660,547.363,78.793
734.865,674.601,389.818,642.136,269.395,542.163,80.568
727.258,686.175,400.909,652.129,279.049,549.104,79.002
714.635,680.067,391.732,653.551,279.889,543.975,78.121
723.764,646.641,388.258,633.456,272.963,533.017,76.933
725.826,714.242,397.667,655.359,268.296,552.278,82.832
733.657,694.857,411.138,660.962,277.506,555.624,80.101
719.124,690.027,404.302,675.355,290.099,555.781,78.111
699.534,734.058,408.643,661.875,280.228,556.868,80.318
734.416,714.511,417.857,644.878,296.407,561.614,77.762
706.180,693.395,379.026,656.188,266.833,540.324,81.284
723.680,710.179,422.380,638.906,279.623,554.954,78.229
739.382,690.457,398.307,650.321,246.802,545.054,84.965
695.618,702.283,402.065,628.052,281.401,541.884,75.944
711.236,659.251,407.906,618.077,276.685,534.631,73.832
690.539,668.063,398.888,637.655,278.648,534.759,73.940
723.792,701.502,413.997,654.206,289.228,556.545,77.537
716.522,710.480,403.107,656.017,278.877,553.001,79.941
721.287,704.673,426.068,641.526,289.333,556.577,76.087
705.989,677.058,393.831,676.948,286.352,548.035,77.581
722.169,683.879,402.745,663.314,277.321,549.885,79.106
703.180,680.170,399.430,629.962,286.951,539.938,74.340
725.393,692.516,406.820,652.202,277.154,550.817,79.110
708.972,657.789,424.453,678.373,282.679,550.453,74.991
715.753,670.413,409.549,638.453,282.352,543.304,75.083
762.348,663.691,398.323,643.923,290.136,551.684,79.337
707.157,696.166,411.706,655.293,286.963,551.457,76.277
714.910,685.973,408.531,664.756,286.617,552.158,76.997
779.399,717.637,394.490,644.923,296.741,566.638,84.066
722.129,730.045,416.320,672.474,286.191,565.432,80.825
703.292,698.821,409.672,656.477,273.346,548.322,78.281
732.831,718.475,396.013,658.700,277.611,556.726,82.779
729.320,716.274,398.164,671.916,287.809,560.697,81.460
763.635,676.063,411.464,655.620,291.593,559.675,79.545
748.253,675.269,405.271,662.160,267.975,551.786,81.987
693.669,654.695,389.148,670.470,280.179,537.632,75.902
747.185,686.879,401.518,670.634,261.364,553.516,84.253
712.270,695.740,382.065,655.282,265.370,542.145,81.869
764.680,706.435,404.240,672.990,284.716,566.612,83.887
687.045,666.067,392.620,637.247,292.599,535.116,72.050
727.067,669.063,399.747,655.401,269.901,544.236,79.373
729.202,726.399,407.883,652.749,278.259,558.899,81.837
718.011,674.677,396.578,681.481,306.142,555.378,75.874
752.944,685.489,431.755,664.937,272.210,561.467,80.807
736.719,675.879,418.979,647.801,294.247,554.725,75.562
717.629,725.848,395.901,658.105,278.352,555.167,82.003
732.815,683.049,395.477,646.833,287.302,549.095,78.328
709.831,667.704,409.328,652.160,266.500,541.105,77.357
716.112,653.152,408.195,656.118,278.506,542.417,75.637
752.860,686.462,410.690,675.854,300.679,565.309,78.996
724.882,689.081,410.930,649.481,284.858,551.846,77.317
693.247,687.865,398.253,639.909,301.846,544.224,72.678
697.916,719.283,395.039,666.324,280.049,551.722,80.234
749.612,659.471,400.940,633.690,281.062,544.955,78.295
726.337,679.502,401.898,669.523,275.951,550.642,79.796
712.157,709.296,414.177,694.840,290.272,564.148,79.386
731.966,710.265,411.312,667.993,301.259,564.559,78.170
717.309,733.229,420.312,692.258,301.537,572.929,79.430
793.725,719.081,422.620,670.101,310.383,583.182,82.596
756.635,689.049,416.617,646.763,275.593,556.931,81.055
724.579,704.242,419.073,664.373,297.901,562.034,76.765
741.843,715.112,401.240,672.289,289.975,564.092,81.919
717.584,680.906,406.219,656.913,294.037,551.132,75.587
736.978,724.982,407.372,678.206,298.574,569.222,80.926
732.831,706.013,418.216,664.484,277.302,559.770,80.530
694.770,712.574,408.602,671.655,294.710,556.462,76.719
715.820,680.152,403.344,662.655,280.623,548.519,77.766
716.674,718.610,406.924,669.871,280.210,558.458,80.865
728.669,681.951,411.805,688.446,283.444,558.863,79.563
762.253,728.794,399.930,661.411,287.475,567.973,84.677
753.326,705.821,408.625,675.784,295.778,567.867,81.108
719.635,716.583,410.820,665.551,282.623,559.042,80.082
726.236,710.466,408.034,638.697,281.259,552.938,79.249
731.702,705.296,400.484,674.314,272.284,556.816,82.906
732.938,704.224,426.391,628.868,284.340,555.352,77.248
724.101,719.803,394.336,676.230,291.827,561.259,81.321
723.691,719.063,410.513,680.599,298.975,566.568,79.222
741.938,712.969,415.182,671.690,300.191,568.394,79.271
749.326,699.731,413.786,678.693,276.414,563.590,82.751
725.225,699.040,419.417,657.495,302.975,560.830,75.355
729.556,720.857,401.674,664.265,307.457,564.762,78.543
721.725,711.502,392.573,668.331,257.074,550.241,84.891
720.725,691.596,406.185,681.171,303.389,560.613,76.769
761.191,698.139,425.497,684.969,302.772,574.514,79.594
765.326,685.444,403.297,676.031,305.068,567.033,80.164
735.697,738.265,434.839,681.610,291.290,576.340,80.987
745.618,743.534,424.747,686.512,283.741,576.830,84.224
747.084,726.897,409.802,650.537,264.636,559.791,85.053
753.382,701.269,417.503,677.979,298.457,569.718,79.878
706.275,721.552,418.451,666.544,282.691,559.102,78.938
758.006,708.377,408.591,655.167,284.006,562.829,82.301
754.258,696.650,398.643,671.272,276.438,559.452,83.722
694.213,715.605,374.823,670.474,300.617,551.147,78.895
723.258,690.780,382.607,656.592,289.926,548.633,79.208
716.258,646.430,366.029,616.659,251.630,519.401,79.893
670.994,601.058,351.974,583.070,240.821,489.583,73.456
687.360,621.596,347.414,592.833,234.722,496.785,78.003
680.910,606.942,358.521,605.920,226.537,495.766,77.484
666.775,590.377,330.260,596.153,224.623,481.638,76.990
684.882,590.516,332.247,591.000,226.698,485.069,78.071
659.949,631.502,330.219,558.237,226.154,481.212,77.025
660.129,545.673,314.685,556.502,228.185,461.035,72.541
645.691,530.099,297.885,536.676,212.648,444.600,72.540
638.365,544.332,292.750,542.449,207.179,445.015,73.890
619.989,530.547,280.914,513.481,196.901,428.366,72.034
578.792,532.834,282.370,505.833,203.562,420.678,66.663
627.730,556.480,272.656,482.805,201.019,428.138,73.500
581.388,525.709,254.487,485.986,185.759,406.666,70.128
591.000,508.161,267.648,471.725,181.500,404.007,68.849
548.427,536.117,254.883,445.031,173.457,391.583,67.709
596.270,535.592,251.138,431.693,189.636,400.866,70.518
521.601,530.404,247.680,435.850,169.969,381.101,65.546
585.084,504.480,239.703,434.923,169.377,386.713,70.538
542.303,476.753,229.846,423.014,173.864,369.156,63.876
511.798,509.511,204.799,406.495,160.321,358.585,66.785
532.197,486.278,221.599,387.767,164.772,358.522,64.382
469.287,491.996,215.440,383.495,167.728,345.589,58.905
474.691,478.910,216.318,382.143,161.321,342.677,58.788
482.303,499.574,206.320,373.575,167.531,345.861,61.412
470.904,455.242,207.203,358.523,170.074,332.389,55.491
429.163,418.130,203.815,347.017,166.327,312.891,48.636
443.826,429.834,201.409,332.237,166.432,314.748,51.012
435.809,467.480,194.922,342.714,152.000,318.585,56.404
429.404,439.076,196.565,332.268,155.457,310.554,52.216
415.978,413.910,184.401,330.362,150.438,299.018,50.230
439.303,429.480,197.534,339.965,149.148,311.086,53.069
412.213,417.390,184.643,319.254,155.136,297.727,49.400
423.315,417.233,184.117,307.840,151.698,296.840,50.748
401.635,416.794,192.000,305.157,145.259,292.169,48.703
403.961,418.296,190.435,304.321,157.741,294.951,47.722
366.264,408.919,183.193,294.178,150.568,280.624,44.893
382.944,416.758,193.193,306.749,168.272,293.583,44.322
381.371,417.224,182.380,309.230,145.883,287.218,47.840
369.871,407.668,203.273,282.666,152.827,283.261,43.077
350.287,399.336,178.388,290.523,143.488,272.404,43.801
326.612,390.435,170.849,281.857,157.586,265.468,40.107
357.657,390.453,176.451,276.641,145.722,269.385,43.096
376.865,373.960,177.018,274.857,154.599,271.460,42.049
351.006,395.915,175.792,263.983,145.883,266.515,43.208
333.652,377.973,179.995,273.481,149.593,262.939,39.024
320.213,405.978,184.135,262.613,147.062,264.000,41.652
326.129,396.991,183.589,279.770,154.000,268.096,40.138
341.916,392.484,176.026,281.899,151.642,268.793,41.544
330.904,374.704,182.734,261.613,153.815,260.754,37.645
332.478,348.094,180.411,262.774,149.302,254.612,35.476
332.534,379.448,175.849,255.394,143.636,257.372,40.069
332.090,355.417,170.531,260.725,146.870,253.127,37.346
325.719,367.453,180.112,259.659,155.352,257.659,36.426
305.635,361.507,174.607,269.070,146.685,251.501,35.911
336.972,367.484,182.432,260.052,157.043,260.797,36.928
319.674,378.291,179.648,242.021,146.136,253.154,38.504
306.691,368.036,179.398,261.328,144.062,251.903,36.586
333.798,358.955,180.206,248.787,147.784,253.906,36.953
312.500,370.013,179.758,257.098,141.969,252.268,37.384
333.680,363.036,178.508,274.185,142.870,258.456,38.259
341.298,359.744,188.562,256.021,149.580,259.041,36.805
320.983,352.157,187.036,246.415,149.593,251.237,34.366
332.916,375.260,182.146,254.383,142.907,257.522,39.179
334.017,357.785,189.490,265.272,151.512,259.615,35.670
330.579,374.982,183.469,243.840,150.574,256.689,38.073
326.882,344.094,183.885,251.390,143.272,249.905,34.945
342.270,370.453,190.607,258.084,148.809,262.044,38.016
327.978,375.601,194.034,258.767,154.389,262.154,36.589
322.404,390.807,191.130,261.331,162.784,265.691,37.437
328.854,399.085,201.156,235.854,146.556,262.301,40.484
330.876,387.453,192.578,265.324,155.173,266.281,38.280
342.433,380.816,181.523,249.495,151.765,261.206,39.683
332.708,391.462,192.727,249.125,148.438,262.892,39.808
318.607,382.709,197.391,228.307,142.994,254.001,38.433
334.713,412.628,188.695,262.551,145.988,268.915,43.160
320.708,388.166,198.555,255.808,148.722,262.392,38.084
328.657,362.188,206.961,257.777,139.370,258.991,36.067
321.197,405.614,193.766,257.021,155.315,266.582,40.043
348.185,373.816,195.323,269.436,154.407,268.233,37.849
349.180,421.776,201.010,268.787,154.093,278.969,43.404
341.017,376.762,213.961,259.443,144.580,267.153,37.621
340.421,378.013,206.536,272.937,140.944,267.771,38.623
361.191,396.193,200.836,258.279,150.167,273.333,41.697
340.949,413.789,203.510,260.568,139.926,271.749,43.416
345.669,376.776,214.560,251.878,151.889,268.154,37.128
353.545,380.749,210.081,273.265,146.037,272.735,39.077
335.045,413.951,194.349,275.951,152.704,274.400,42.130
360.612,391.336,215.294,269.652,153.167,278.012,39.626
348.983,422.816,212.615,295.111,149.136,285.732,43.306
403.758,427.126,222.432,261.889,147.691,292.579,47.883
368.803,423.045,212.305,279.589,148.562,286.461,44.720
346.601,423.901,226.044,298.979,151.099,289.325,42.235
404.612,418.108,224.057,293.725,142.864,296.673,47.047
387.213,415.628,224.911,286.610,148.920,292.656,44.429
388.624,427.798,227.617,296.341,148.346,297.745,45.788
388.410,436.417,228.086,296.380,152.414,300.341,46.213
417.461,448.758,223.318,292.721,155.944,307.640,49.928
423.343,457.704,230.492,299.819,158.204,313.912,50.618
431.051,463.520,251.250,321.603,160.241,325.533,50.211
415.157,492.686,249.758,315.056,148.451,324.222,54.101
400.522,453.978,253.940,331.115,168.167,321.544,45.591
442.236,462.695,254.802,328.899,150.704,327.867,52.148
429.000,470.493,258.229,333.408,149.247,328.075,51.906
444.955,448.318,257.208,318.352,167.216,327.210,48.624
462.764,462.744,270.888,349.010,157.278,340.537,52.299
428.444,463.825,267.193,340.328,166.494,333.257,48.304
455.382,471.650,268.688,354.063,146.790,339.315,54.132
477.691,484.709,269.122,352.286,153.889,347.539,56.366
458.124,499.453,268.964,381.819,151.710,352.014,56.888
473.242,533.691,268.815,383.718,167.148,365.323,59.639
463.500,486.350,278.177,350.990,161.364,348.076,53.739
496.051,493.220,285.487,377.672,152.747,361.035,58.334
507.556,482.825,272.193,385.167,169.426,363.433,57.083
489.680,498.117,279.807,385.826,148.691,360.424,59.209
492.315,464.233,275.839,384.401,156.148,354.587,55.663
471.303,516.269,286.167,382.223,156.877,362.568,57.959
501.056,532.135,291.602,407.958,157.765,378.103,61.892
551.624,535.251,292.844,409.760,162.574,390.410,65.961
511.758,543.507,294.466,417.425,166.414,386.714,62.675
521.545,533.901,293.268,420.808,166.611,387.227,62.668
523.865,552.785,292.003,438.073,168.179,394.981,64.935
580.916,538.332,298.539,422.233,169.080,401.820,68.106
538.635,542.193,305.779,453.756,161.580,400.389,65.742
534.062,549.417,311.779,466.314,163.716,405.057,65.782
546.101,562.722,313.534,438.181,174.660,407.040,65.510
537.680,588.251,307.708,443.439,168.377,409.091,68.712
564.961,553.834,322.984,467.244,177.562,417.317,66.124
561.213,561.771,322.602,473.944,171.796,418.265,67.536
573.320,540.484,330.602,461.010,167.309,414.545,66.754
562.528,545.036,330.380,485.571,176.321,419.967,65.623
609.230,565.637,316.648,471.613,181.586,428.943,71.219
569.258,606.641,330.779,467.711,169.272,428.732,72.065
565.949,575.413,347.367,468.408,200.222,431.472,63.472
587.500,600.543,329.609,463.049,171.648,430.470,72.610
589.067,603.480,327.451,499.934,175.926,439.171,73.468
568.596,600.682,337.779,464.822,180.463,430.468,69.376
566.517,589.785,335.508,520.024,180.451,438.457,70.176
621.567,586.668,343.961,502.286,192.216,449.340,71.706
622.860,628.238,336.904,492.735,180.648,452.277,77.147
592.298,664.139,344.711,530.993,185.759,463.580,78.141
628.331,632.363,361.508,522.920,177.358,464.496,77.843
646.140,630.027,373.318,540.993,174.185,472.933,79.620
639.691,608.063,338.466,522.599,172.432,456.250,78.873
643.079,592.126,350.258,538.153,179.457,460.614,76.897
644.876,642.309,361.125,520.348,186.494,471.031,78.748
615.174,599.318,359.797,527.286,180.198,456.355,73.832
649.775,663.283,352.669,568.540,189.883,484.830,82.588
604.921,623.722,356.062,562.017,192.370,467.819,74.923
616.096,643.274,361.036,578.815,204.728,480.790,76.123
598.281,635.471,347.289,566.115,188.580,467.147,76.757
657.174,638.578,394.922,574.334,184.858,489.973,79.821
628.517,659.256,376.333,592.568,208.957,493.126,77.514
663.051,611.928,354.721,561.934,207.488,479.824,76.833
650.730,643.058,349.125,577.087,204.074,484.815,79.576
606.225,681.677,374.289,601.840,201.889,493.184,79.775
656.039,658.081,372.630,604.185,202.272,498.641,81.252
664.596,670.058,364.047,584.610,193.889,495.440,83.727
662.584,635.265,369.474,586.512,212.457,493.258,77.899
698.062,644.435,354.578,595.213,209.019,500.261,83.659
622.910,649.883,372.560,583.965,215.975,489.059,75.082
649.101,655.753,379.107,611.721,208.228,500.782,79.678
657.489,682.067,372.669,618.279,201.228,506.346,84.194
684.079,670.655,360.630,583.439,208.630,501.486,83.494
668.961,689.583,374.094,605.115,218.321,511.215,82.488
671.725,666.013,376.367,603.979,226.333,508.884,79.409
690.337,670.493,361.393,645.118,210.914,515.651,86.698
674.174,661.197,376.018,614.209,217.556,508.631,81.028
663.944,692.883,392.255,605.456,218.821,514.672,81.190
717.646,680.475,380.289,615.359,226.062,523.966,84.794
678.685,692.664,367.734,620.540,206.654,513.256,86.312
703.135,661.906,374.599,628.585,223.574,518.360,83.537
664.034,674.726,366.128,631.537,239.222,515.129,79.880
669.573,686.991,362.245,640.091,206.290,513.038,86.658
657.933,689.422,391.784,629.192,216.574,516.981,82.003
705.298,660.390,382.404,631.303,235.235,522.926,81.588
700.854,675.637,407.591,660.321,209.784,530.837,86.001
662.978,689.928,395.073,629.453,215.198,518.526,82.413
694.758,689.103,405.286,643.801,210.130,528.616,85.620
718.315,710.413,378.547,626.213,216.160,529.929,89.152
727.646,675.036,384.536,633.383,223.290,528.778,86.258
736.208,692.973,364.505,640.666,225.222,531.915,89.797
719.028,719.964,381.458,631.223,234.068,537.148,87.510
734.135,672.874,400.977,643.474,238.747,538.041,83.932
700.584,725.825,405.690,656.265,229.198,543.512,86.813
717.281,712.987,385.273,651.502,242.037,541.816,86.369
730.180,717.816,395.443,663.463,246.148,550.610,87.112
718.882,708.623,384.760,645.237,249.389,541.378,84.865
747.899,724.287,390.474,667.185,252.444,556.458,88.781
721.354,693.722,383.935,664.948,237.451,540.282,86.723
721.916,714.646,409.112,651.265,230.025,545.393,86.959
727.062,722.619,386.453,666.181,255.272,551.517,86.775
719.230,694.009,405.281,668.460,229.716,543.339,86.421
731.685,717.623,417.578,667.564,257.309,558.352,84.329
714.174,722.632,393.292,689.829,250.093,554.004,87.345
756.573,718.843,373.344,699.338,261.988,562.017,90.977
676.219,735.565,402.461,654.850,257.383,545.296,82.132
721.888,693.193,400.495,691.983,228.463,547.204,88.523
682.337,699.439,409.378,660.495,251.272,540.584,80.156
695.427,711.525,395.672,660.871,262.321,545.163,81.484
705.764,726.834,406.141,679.721,271.383,557.969,82.551
727.056,706.762,389.479,659.282,261.432,548.802,84.118
708.331,699.960,397.307,686.882,273.204,553.137,81.529
723.528,710.099,387.849,679.854,262.667,552.799,85.187
731.629,693.722,401.857,675.697,273.049,555.191,81.965
712.556,733.565,381.117,680.042,276.580,556.772,84.872
757.427,694.843,412.099,692.787,254.710,562.373,87.142
682.067,725.919,406.729,674.805,260.827,550.070,82.003
725.579,711.300,398.766,712.397,279.346,565.478,84.415
730.331,731.094,401.154,654.812,285.926,560.663,81.883
727.657,785.722,410.891,694.711,262.537,576.304,90.905
713.506,730.475,398.109,673.307,287.580,560.595,81.458
722.225,708.619,402.727,730.735,271.160,567.093,86.132
750.944,711.152,396.875,735.836,272.494,573.460,89.127
706.522,717.520,419.016,669.038,270.253,556.470,80.483
698.955,748.314,402.521,688.052,265.611,560.691,85.470
770.230,714.170,398.258,672.502,291.537,569.339,84.479
732.011,719.789,398.018,677.561,277.154,560.907,83.708
